id,name,gender,year_of_birth,year_of_death,city_of_birth,state_of_birth,city_of_death,state_of_death,url
631,"Adzak, Roy",M,1927,1987,Reading,United Kingdom,Paris,France,http://www.tate.org.uk/art/artists/roy-adzak-631
632,Afro,M,1912,1976,Udine,Italia,Zürich,Schweiz,http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
633,"Agar, Eileen",F,1899,1991,Ayacucho,Argentina,London,United Kingdom,http://www.tate.org.uk/art/artists/eileen-agar-633
634,"Aitchison, Craigie",M,1926,2009,Edinburgh,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/craigie-aitchison-634
635,"Ajmone, Giuseppe",M,1923,2005,Carpignano Sesia,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
636,"Albers, Josef",M,1888,1976,Bottrop,Deutschland,New Haven,United States,http://www.tate.org.uk/art/artists/josef-albers-636
637,"Albright, Ivan",M,1897,1983,Chicago,United States,Woodstock,United States,http://www.tate.org.uk/art/artists/ivan-albright-637
638,"Aldridge, John",M,1905,1983,Greenwich,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-aldridge-638
639,"Alechinsky, Pierre",M,1927,Unknown,Bruxelles,België,Unknown,Unknown,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
640,"Alexander, Edwin",M,1870,1926,Edinburgh,United Kingdom,Musselburgh,United Kingdom,http://www.tate.org.uk/art/artists/edwin-alexander-640
641,"Allan, Julian Phelps",F,1892,1996,Southampton,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
642,"Alley, Anthea",F,1927,1993,Seremban,Malaysia,Unknown,Unknown,http://www.tate.org.uk/art/artists/anthea-alley-642
643,"Allington, Edward",M,1951,Unknown,Cumbria,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/edward-allington-643
644,"Allinson, Adrian",M,1890,1959,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/adrian-allinson-644
645,"Altoon, John",M,1925,1969,Los Angeles,United States,Los Angeles,Unknown,http://www.tate.org.uk/art/artists/john-altoon-645
646,"Amiet, Cuno",M,1868,1961,Solothurn,Unknown,Schweiz,Unknown,http://www.tate.org.uk/art/artists/cuno-amiet-646
647,"Amuchastegui, Axel",M,1921,2002,Córdoba,España,Unknown,Unknown,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
648,"Andre, Carl",M,1935,Unknown,Quincy,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/carl-andre-648
649,"Andrews, Michael",M,1928,1995,Norwich,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/michael-andrews-649
650,"Annesley, David",M,1936,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-annesley-650
651,"Anquetin, Louis",M,1861,1932,Eure,France,Paris,France,http://www.tate.org.uk/art/artists/louis-anquetin-651
652,"Anrep, Boris",M,1883,1969,Sankt-Peterburg,Rossiya,Unknown,Unknown,http://www.tate.org.uk/art/artists/boris-anrep-652
653,"Anuszkiewicz, Richard",M,1930,Unknown,Erie,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653
654,"Appel, Karel",M,1921,2006,Amsterdam,Nederland,Zürich,Schweiz,http://www.tate.org.uk/art/artists/karel-appel-654
655,"Appelbee, Leonard",M,1914,2000,Fulham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/leonard-appelbee-655
656,"Appleyard, Fred",M,1874,1963,Middlesbrough,United Kingdom,Hampshire,United Kingdom,http://www.tate.org.uk/art/artists/fred-appleyard-656
657,"Arakawa, Shusaku",Unknown,1936,2010,Nagoya,Nihon,New York,United States,http://www.tate.org.uk/art/artists/shusaku-arakawa-657
658,"Archipenko, Alexander",M,1887,1964,Kiyev,Ukrayina,New York,United States,http://www.tate.org.uk/art/artists/alexander-archipenko-658
659,"Ardizzone, Edward",M,1900,1979,Hai Phìng,Viet Nam,Kent,United Kingdom,http://www.tate.org.uk/art/artists/edward-ardizzone-659
660,"Ardon, Mordecai",M,1896,1992,Tuchów,Polska,Yerushalayim,Mehoz,http://www.tate.org.uk/art/artists/mordecai-ardon-660
661,"Arikha, Avigdor",M,1929,2010,Radauti,România,Paris,France,http://www.tate.org.uk/art/artists/avigdor-arikha-661
662,Arman,M,1928,2005,Nice,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
663,"Armfield, Maxwell Ashby",M,1881,1972,Ringwood,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663
664,"Armitage, Kenneth",M,1916,2002,Leeds,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/kenneth-armitage-664
665,"Armstrong, John",M,1893,1973,Hastings,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-armstrong-665
666,"Arnatt, Keith",M,1930,2008,Oxford,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/keith-arnatt-666
667,"Arp, Jean",M,1886,1966,Strasburg,Deutschland,Basel,Schweiz,http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",Unknown,1939,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668
669,"Artschwager, Richard",M,1923,2013,Washington,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-artschwager-669
670,"Askew, Victor",M,1909,1974,Rotherham,United Kingdom,Hertfordshire,United Kingdom,http://www.tate.org.uk/art/artists/victor-askew-670
671,"Atkinson, Conrad",M,1940,Unknown,Cumbria,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/conrad-atkinson-671
672,"Atkinson, Lawrence",M,1873,1931,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/lawrence-atkinson-672
673,"Atlan, Jean-Michel",M,1913,1960,Qacentina,Al-Jaza'ir,Paris,France,http://www.tate.org.uk/art/artists/jean-michel-atlan-673
674,"Atwood, Clare",F,1866,1962,Richmond,United Kingdom,Tenterden,United Kingdom,http://www.tate.org.uk/art/artists/clare-atwood-674
675,"Auerbach, Arnold",M,1898,1978,Liverpool,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/arnold-auerbach-675
676,"Auerbach, Frank",M,1931,Unknown,Berlin,Deutschland,Unknown,Unknown,http://www.tate.org.uk/art/artists/frank-auerbach-676
677,"Austin, Robert",M,1895,1973,Leicester,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-austin-677
678,"Avery, Milton",M,1893,1965,Altmar,United States,New York,United States,http://www.tate.org.uk/art/artists/milton-avery-678
679,"Ayot, Pierre",M,1943,Unknown,Québec,Canada,Québec,Canada,http://www.tate.org.uk/art/artists/pierre-ayot-679
680,"Ayres, OBE Gillian",F,1930,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680
681,"Ayrton, Michael",M,1921,1975,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/michael-ayrton-681
682,"Bacon, Francis",M,1909,1992,Dublin,Éire,Madrid,España,http://www.tate.org.uk/art/artists/francis-bacon-682
683,"Bacon, John Henry F.",M,1868,1915,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
684,"Baer, Jo",F,1929,Unknown,Seattle,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/jo-baer-684
685,"Baertling, Olle",M,1911,1981,Halmstad,Sverige,Stockholm,Sverige,http://www.tate.org.uk/art/artists/olle-baertling-685
686,"Baj, Enrico",M,1924,2003,Milano,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/enrico-baj-686
687,"Baldessari, John",M,1931,Unknown,National City,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-baldessari-687
688,"Balla, Giacomo",M,1871,1958,Torino,Italia,Roma,Italia,http://www.tate.org.uk/art/artists/giacomo-balla-688
689,"Klossowski de Rola, Balthus",M,1908,2001,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/balthus-balthasar-klossowski-de-rola-689
690,"Banc, Jef",M,1930,Unknown,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/jef-banc-690
691,"Banting, John",M,1902,1971,Chelsea,United Kingdom,Hastings,United Kingdom,http://www.tate.org.uk/art/artists/john-banting-691
692,"Baran, Stefan",M,1922,Unknown,Dormans,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/stefan-baran-692
693,"Barker, Clive",M,1940,Unknown,Luton,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/clive-barker-693
694,"Barker, Margaret",F,1907,Unknown,Sydenham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/margaret-barker-694
695,"Barlach, Ernst",M,1870,1938,Wedel,Deutschland,Rostock,Deutschland,http://www.tate.org.uk/art/artists/ernst-barlach-695
696,"Barni, Roberto",M,1939,Unknown,Pistoia,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/roberto-barni-696
697,"Barns-Graham, Wilhelmina",F,1912,2004,Saint Andrews,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697
698,"Bartlett, Jennifer",F,1941,Unknown,Long Beach,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/jennifer-bartlett-698
699,"Baselitz, Georg",M,1938,Unknown,Sachsen,Deutschland,Unknown,Unknown,http://www.tate.org.uk/art/artists/georg-baselitz-699
700,"Baskin, Leonard",M,1922,2000,New Brunswick,United States,Northampton,United States,http://www.tate.org.uk/art/artists/leonard-baskin-700
701,"Bateman, James",M,1893,1959,Kendal,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/james-bateman-701
702,"Bates, Maxwell",M,1906,1980,Calgary,Canada,Victoria,Canada,http://www.tate.org.uk/art/artists/maxwell-bates-702
703,"Bauchant, André",M,1873,1958,Château-Renault,France,Montoire-sur-le-Loir,France,http://www.tate.org.uk/art/artists/andre-bauchant-703
704,"Bauer, Marius",M,1867,1932,s Gravenhage,Nederland,Amsterdam,Nederland,http://www.tate.org.uk/art/artists/marius-bauer-704
705,"Baumeister, Willi",M,1889,1955,Stuttgart,Deutschland,Stuttgart,Deutschland,http://www.tate.org.uk/art/artists/willi-baumeister-705
706,"Baumgarten, Lothar",M,1944,Unknown,Rheinsberg,Deutschland,Unknown,Unknown,http://www.tate.org.uk/art/artists/lothar-baumgarten-706
707,"Bawden, Edward",M,1903,1989,Braintree,Unknown,Essex,United Kingdom,http://www.tate.org.uk/art/artists/edward-bawden-707
708,"Bawden, Richard",M,1936,Unknown,Essex,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-bawden-708
709,"Baxter, Glen",M,1944,Unknown,Leeds,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/glen-baxter-709
710,"Baxter, Iain",M,1936,Unknown,England,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/iain-baxter-710
711,"Bayer, Herbert",M,1900,1985,Haag am Hausruck,Österreich,Santa Barbara,United States,http://www.tate.org.uk/art/artists/herbert-bayer-711
712,"Bayes, Gilbert",M,1872,1953,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/gilbert-bayes-712
713,"Bayes, Walter",M,1869,1956,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/walter-bayes-713
714,"Baziotes, William",M,1912,1963,Pittsburgh,United States,New York,United States,http://www.tate.org.uk/art/artists/william-baziotes-714
715,"Beament, Tib",M,1941,Unknown,Canada,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/tib-beament-715
716,"Beardsley, Aubrey",M,1872,1898,Brighton,United Kingdom,Menton,France,http://www.tate.org.uk/art/artists/aubrey-beardsley-716
717,"Beattie, Basil",M,1935,Unknown,Hartlepool,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/basil-beattie-717
718,"Becher, Prof. Bernd",Unknown,1931,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/bernd-becher-and-hilla-becher-718
719,"Becker, Harald",M,1940,Unknown,Deutschland,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/harald-becker-719
720,"Beckmann, Max",M,1884,1950,Leipzig,Deutschland,New York,United States,http://www.tate.org.uk/art/artists/max-beckmann-720
721,"Beer, Richard",M,1928,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-beer-721
722,"Beerbohm, Sir Max",M,1872,1956,London,United Kingdom,Rapallo,Italia,http://www.tate.org.uk/art/artists/sir-max-beerbohm-722
723,"Beeton, Alan",M,1880,1942,Hampstead,United Kingdom,Reading,United Kingdom,http://www.tate.org.uk/art/artists/alan-beeton-723
724,"Beggs, Guy",M,1947,Unknown,Durban,South Africa,Unknown,Unknown,http://www.tate.org.uk/art/artists/guy-beggs-724
725,"Belcher, George",M,1875,1947,Greater London,United Kingdom,Chiddingfold,United Kingdom,http://www.tate.org.uk/art/artists/george-belcher-725
726,"Bell, Graham",M,1910,1943,South Africa,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/graham-bell-726
727,"Bell, Larry",M,1939,Unknown,Chicago,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/larry-bell-727
728,"Bell, Laura Anning",F,1867,1950,France,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/laura-anning-bell-728
729,"Bell, Robert Anning",M,1863,1933,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/robert-anning-bell-729
730,"Bell, Trevor",M,1930,Unknown,Leeds,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/trevor-bell-730
731,"Bell, Vanessa",F,1879,1961,Kensington,United Kingdom,West Sussex,United Kingdom,http://www.tate.org.uk/art/artists/vanessa-bell-731
732,"Bellany, John",M,1942,2013,Port Seton,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-bellany-732
733,"Bellegarde, Claude",M,1927,Unknown,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/claude-bellegarde-733
734,"De Belleroche, Count Albert",M,1864,1944,Swansea,United Kingdom,Southwell,United Kingdom,http://www.tate.org.uk/art/artists/count-albert-de-belleroche-734
735,"Bellingham-Smith, Elinor",F,1906,1988,London,United Kingdom,Ipswich,United Kingdom,http://www.tate.org.uk/art/artists/elinor-bellingham-smith-735
736,"Bellmer, Hans",M,1902,1975,Katowice,Polska,Paris,France,http://www.tate.org.uk/art/artists/hans-bellmer-736
737,"Benjamin, Anthony",M,1931,2002,Hampshire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/anthony-benjamin-737
738,"Benois, Alexander",M,1870,1960,Sankt-Peterburg,Rossiya,Paris,France,http://www.tate.org.uk/art/artists/alexander-benois-738
739,"Benois, Nadia",F,1896,1975,Sankt-Peterburg,Rossiya,Gloucestershire,United Kingdom,http://www.tate.org.uk/art/artists/nadia-benois-739
740,"Benson, Abraham Harris",M,1878,1929,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/abraham-harris-benson-740
741,"Béraud, Jean",M,1849,1935,Sankt-Peterburg,Rossiya,Paris,France,http://www.tate.org.uk/art/artists/jean-beraud-741
742,"Berber, Mersad",M,1940,Unknown,Bosanski Petrovac,Bosna i Hercegovina,Unknown,Unknown,http://www.tate.org.uk/art/artists/mersad-berber-742
743,"Berg, Adrian",M,1929,2011,London,United Kingdom,Brighton,United Kingdom,http://www.tate.org.uk/art/artists/adrian-berg-743
744,"Berman, Eugène",M,1899,1972,Sankt-Peterburg,Rossiya,Roma,Italia,http://www.tate.org.uk/art/artists/eugene-berman-744
745,"Bernik, Janez",M,1933,Unknown,Slovenija,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/janez-bernik-745
746,"Berry, John, CBE",M,1925,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-berry-746
747,"Beuys, Joseph",M,1921,1986,Krefeld,Deutschland,Düsseldorf,Deutschland,http://www.tate.org.uk/art/artists/joseph-beuys-747
748,"Bevan, Robert",M,1865,1925,Hove,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/robert-bevan-748
749,"Bicât, André",M,1909,1996,Essex,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/andre-bicat-749
750,"Biederman, Charles",M,1906,2004,Cleveland,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-biederman-750
751,"Binning, Bertram",M,1909,1976,Alberta,Canada,West Vancouver,Canada,http://www.tate.org.uk/art/artists/bertram-binning-751
752,"Bionda, Mario",M,1913,1985,Torino,Italia,Milano,Italia,http://www.tate.org.uk/art/artists/mario-bionda-752
753,"Birch, Samuel John Lamorna",M,1869,1955,Egremont,Unknown,England,United Kingdom,http://www.tate.org.uk/art/artists/samuel-john-lamorna-birch-753
754,"Bird, John",M,1945,Unknown,Doncaster,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-bird-754
755,"Bishop, Henry",M,1868,1939,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-bishop-755
756,"Bissier, Julius",M,1893,1965,Freiburg im Breisgau,Deutschland,Ascona,Schweiz,http://www.tate.org.uk/art/artists/julius-bissier-756
757,"Bissière, Roger",M,1886,1964,Lot-et-Garonne,France,Lot,France,http://www.tate.org.uk/art/artists/roger-bissiere-757
758,"Bissill, George",M,1896,1973,Fairford,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/george-bissill-758
759,"Black, Sheila",F,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/sheila-black-759
760,"Blackadder, Elizabeth",F,1931,Unknown,Falkirk,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/elizabeth-blackadder-760
761,"Blacker, Kate",F,1955,Unknown,Petersfield,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/kate-blacker-761
762,"Blake, John",M,1945,Unknown,Rhode Island,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-blake-762
763,"Blake, Peter",M,1932,Unknown,Dartford,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-blake-763
764,"Blamey, Norman",M,1914,2000,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/norman-blamey-764
765,"Blanche, Jacques-Emile",M,1861,1942,Auteuil,Unknown,Paris,France,http://www.tate.org.uk/art/artists/jacques-emile-blanche-765
766,"Bland, Beatrice",F,1864,1951,Lincolnshire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/beatrice-bland-766
767,"Blaymires, Charles Henry",M,1908,1970,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-henry-blaymires-767
768,"Bliss, Douglas Percy",M,1900,1984,Karachi,Pakistan,Unknown,Unknown,http://www.tate.org.uk/art/artists/douglas-percy-bliss-768
769,"Bloch, Martin",M,1883,1954,Schlesien,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/martin-bloch-769
770,"Blow, Sandra",F,1925,2006,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/sandra-blow-770
771,"Boccioni, Umberto",M,1882,1916,Reggio di Calabria,Italia,Veneto,Italia,http://www.tate.org.uk/art/artists/umberto-boccioni-771
772,"Bochner, Mel",M,1940,Unknown,Pittsburgh,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/mel-bochner-772
773,"Bock, Théophile de",M,1851,1904,s Gravenhage,Nederland,Haarlem,Nederland,http://www.tate.org.uk/art/artists/theophile-de-bock-773
774,"Boden, Neville",M,1929,1996,South Africa,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/neville-boden-774
775,"Boisvert, Gilles",M,1940,Unknown,Québec,Canada,Unknown,Unknown,http://www.tate.org.uk/art/artists/gilles-boisvert-775
776,"Bolus, Michael",M,1934,2013,South Africa,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/michael-bolus-776
777,"Bomberg, David",M,1890,1957,Birmingham,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/david-bomberg-777
778,"Bone, Sir Muirhead",M,1876,1953,Unknown,Unknown,Oxford,United Kingdom,http://www.tate.org.uk/art/artists/sir-muirhead-bone-778
779,"Bone, Stephen",M,1904,1958,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/stephen-bone-779
780,"Bonechi, Lorenzo",M,1955,1994,Figline Valdarno,Italia,Unknown,Unknown,http://www.tate.org.uk/art/artists/lorenzo-bonechi-780
781,"Bonnard, Pierre",M,1867,1947,Fontenay-aux-Roses,France,Cannet,le,http://www.tate.org.uk/art/artists/pierre-bonnard-781
782,"Bontecou, Lee",F,1931,Unknown,Providence,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/lee-bontecou-782
783,"Bornfriend, Jacob",M,1904,1976,Ceská Republika,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/jacob-bornfriend-783
784,"Borofsky, Jonathan",M,1942,Unknown,Boston,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/jonathan-borofsky-784
785,"Boshier, Derek",M,1937,Unknown,Portsmouth,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/derek-boshier-785
786,"Bosman, Richard",M,1944,Unknown,Madras,Bharat,Unknown,Unknown,http://www.tate.org.uk/art/artists/richard-bosman-786
787,"Boswell, James",M,1906,1971,Westport,New Zealand,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-boswell-787
788,"Boumans, Bart",M,1940,Unknown,Deventer,Nederland,Unknown,Unknown,http://www.tate.org.uk/art/artists/bart-boumans-788
789,"Bourdelle, Antoine",M,1861,1929,France,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/antoine-bourdelle-789
790,"Bouvier de Cachard, Comte Régis Guy de",M,1929,Unknown,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/comte-regis-de-bouvier-de-cachard-790
791,"Bowey, Olwyn",F,1936,Unknown,Stockton-on-Tees,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/olwyn-bowey-791
792,"Bowling, Frank",M,1936,Unknown,Guyana,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/frank-bowling-792
793,"Box, E.",F,1919,1988,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/e-box-793
794,"Boyce, Sonia",F,1962,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/sonia-boyce-794
795,"Boyd and Evans, Fionnuala and Leslie",Unknown,1944,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/boyd-and-evans-fionnuala-boyd-leslie-evans-795
796,"Boyd, Arthur",M,1920,1999,Australia,Unknown,Melbourne,Unknown,http://www.tate.org.uk/art/artists/arthur-boyd-796
797,"Boyle, Mark",M,1934,2005,Glasgow,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/mark-boyle-797
798,"Bradley, Martin",M,1931,Unknown,Surrey,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/martin-bradley-798
799,"Brammer, Leonard",M,1906,1994,Delft,Nederland,Delft,Nederland,http://www.tate.org.uk/art/artists/leonard-brammer-799
800,"Brancusi, Constantin",M,1876,1957,România,Unknown,Paris,France,http://www.tate.org.uk/art/artists/constantin-brancusi-800
801,"Brandt, Bill",M,1904,1983,Hamburg,Deutschland,London,United Kingdom,http://www.tate.org.uk/art/artists/bill-brandt-801
802,"Brangwyn, Sir Frank",M,1867,1956,Brugge,België,Ditchling,United Kingdom,http://www.tate.org.uk/art/artists/sir-frank-brangwyn-802
803,"Braque, Georges",M,1882,1963,Argenteuil,France,Paris,France,http://www.tate.org.uk/art/artists/georges-braque-803
804,"Bratby, John",M,1928,1992,Wimbledon,United Kingdom,Hastings,United Kingdom,http://www.tate.org.uk/art/artists/john-bratby-804
805,"Breakwell, Ian",M,1943,2005,Derby,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/ian-breakwell-805
806,"Breeze, Claude",M,1938,Unknown,Nelson,Canada,Unknown,Unknown,http://www.tate.org.uk/art/artists/claude-breeze-806
807,"Breton, André",M,1896,1966,Normandie,France,Paris,France,http://www.tate.org.uk/art/artists/andre-breton-807
808,"Brett, Bernard",M,1925,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/bernard-brett-808
809,"Brett, The Hon. Dorothy",F,1883,1977,London,United Kingdom,Taos,United States,http://www.tate.org.uk/art/artists/the-hon-dorothy-brett-809
810,"Bridgewater, Alan",M,1903,1962,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/alan-bridgewater-810
811,"Briggs, Ernest",M,1866,1913,Broughty Ferry,United Kingdom,Dunkeld,United Kingdom,http://www.tate.org.uk/art/artists/ernest-briggs-811
812,"Brill, Frederick",M,1920,1984,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/frederick-brill-812
813,"Brisley, Stuart",M,1933,Unknown,Haslemere,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/stuart-brisley-813
814,"Brodzky, Horace",M,1885,1969,Kew,Australia,London,United Kingdom,http://www.tate.org.uk/art/artists/horace-brodzky-814
815,"Broodthaers, Marcel",M,1924,1976,Saint-Gilles,België,Köln,Deutschland,http://www.tate.org.uk/art/artists/marcel-broodthaers-815
816,"Brook, Peter",M,1927,2009,Scholes,United Kingdom,Halifax,United Kingdom,http://www.tate.org.uk/art/artists/peter-brook-816
817,"Brooker, William",M,1918,1983,Croydon,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-brooker-817
818,"Brooks, James",M,1906,1992,Saint Louis,United States,New York,United States,http://www.tate.org.uk/art/artists/james-brooks-818
819,"Brough, Robert",M,1872,1905,Invergordon,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-brough-819
820,"Brough, Romey",F,1944,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/romey-brough-820
821,"Brown, Sir Arnesby",M,1866,1955,Nottingham,United Kingdom,Norfolk,United Kingdom,http://www.tate.org.uk/art/artists/sir-arnesby-brown-821
822,"Brown, Mortimer",M,1874,1966,Stoke on Trent,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/mortimer-brown-822
823,"Brown, Ralph",M,1928,2013,Leeds,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/ralph-brown-823
824,"Browne, Henriette",F,1829,1901,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/henriette-browne-824
825,"Brundrit, Reginald",M,1883,1960,Liverpool,Unknown,England,United Kingdom,http://www.tate.org.uk/art/artists/reginald-brundrit-825
826,"Brunsdon, John",M,1933,Unknown,Cheltenham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-brunsdon-826
827,"Brus, Günter",M,1938,Unknown,Steiermark,Österreich,Unknown,Unknown,http://www.tate.org.uk/art/artists/gunter-brus-827
828,"Buckley, Stephen",M,1944,Unknown,Leicester,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/stephen-buckley-828
829,"Buffet, Bernard",M,1928,1999,Paris,France,Var,France,http://www.tate.org.uk/art/artists/bernard-buffet-829
830,"Buhler, Robert",M,1916,1989,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/robert-buhler-830
